student_id,course_id,semestre_cursado,anio_cursado,nota,aprobado,num_intentos
UTP-0204,1,1,2020,73.4,True,1
UTP-0204,2,2,2021,62.3,False,1
UTP-0204,3,3,2021,65.7,False,1
UTP-0204,4,4,2022,70.7,True,1
UTP-0204,5,3,2021,72.0,True,1
UTP-0204,6,4,2022,70.9,True,1
UTP-0204,7,2,2021,54.6,False,1
UTP-0204,8,3,2021,71.5,True,1
UTP-0204,9,1,2020,75.6,True,1
UTP-0204,10,1,2020,92.8,True,1
UTP-0204,11,2,2021,73.0,True,1
UTP-0204,12,3,2021,77.2,True,1
UTP-0204,13,2,2021,77.5,True,1
UTP-0204,14,1,2020,88.1,True,1
UTP-0204,15,8,2024,79.7,True,1
UTP-0204,16,1,2020,77.7,True,1
UTP-0204,17,2,2021,75.3,True,1
UTP-0204,18,3,2021,85.8,True,2
UTP-0204,19,4,2022,76.8,True,2
UTP-0204,20,5,2022,80.8,True,2
UTP-0204,21,5,2022,79.1,True,1
UTP-0204,22,6,2023,57.3,False,1
UTP-0204,23,5,2022,71.5,True,1
UTP-0204,24,6,2023,77.6,True,2
UTP-0204,25,5,2022,75.0,True,1
UTP-0204,26,7,2023,72.7,True,2
UTP-0204,27,8,2024,80.1,True,2
UTP-0204,28,6,2023,73.5,True,1
UTP-0204,29,8,2024,83.0,True,1
UTP-0204,30,10,2025,60.0,False,1
UTP-0267,1,1,2023,58.7,False,1
UTP-0267,2,2,2024,73.2,True,1
UTP-0267,3,3,2024,46.6,False,1
UTP-0267,4,4,2025,35.5,False,1
UTP-0267,5,3,2024,74.3,True,2
UTP-0267,6,4,2025,59.1,False,1
UTP-0267,7,2,2024,50.0,False,1
UTP-0267,8,3,2024,72.2,True,2
UTP-0267,9,1,2023,72.7,True,2
UTP-0267,10,1,2023,79.0,True,2
UTP-0267,11,2,2024,73.8,True,2
UTP-0267,12,3,2024,75.1,True,1
UTP-0267,13,2,2024,73.3,True,1
UTP-0267,14,1,2023,67.3,False,1
UTP-0267,45,2,2024,72.9,True,1
UTP-0267,46,3,2024,49.6,False,1
UTP-0153,1,1,2023,84.2,True,2
UTP-0153,2,2,2024,65.9,False,1
UTP-0153,3,3,2024,71.1,True,1
UTP-0153,4,4,2025,82.4,True,2
UTP-0153,5,3,2024,74.5,True,1
UTP-0153,6,4,2025,79.3,True,1
UTP-0153,7,2,2024,81.0,True,2
UTP-0153,8,3,2024,83.0,True,1
UTP-0153,9,1,2023,75.8,True,1
UTP-0153,10,1,2023,90.4,True,1
UTP-0153,11,2,2024,84.2,True,1
UTP-0153,12,3,2024,85.1,True,1
UTP-0153,13,2,2024,86.0,True,1
UTP-0153,14,1,2023,85.0,True,1
UTP-0153,38,2,2024,76.6,True,1
UTP-0153,39,3,2024,82.1,True,1
UTP-0153,40,4,2025,73.0,True,1
UTP-0153,41,5,2025,77.1,True,1
UTP-0010,1,1,2024,91.2,True,1
UTP-0010,2,2,2025,98.4,True,1
UTP-0010,7,2,2025,81.5,True,1
UTP-0010,9,1,2024,100.0,True,1
UTP-0010,10,1,2024,96.6,True,1
UTP-0010,11,2,2025,85.4,True,1
UTP-0010,13,2,2025,97.9,True,1
UTP-0010,14,1,2024,91.4,True,1
UTP-0234,1,1,2021,82.3,True,2
UTP-0234,2,2,2022,51.9,False,1
UTP-0234,3,3,2022,53.5,False,1
UTP-0234,4,4,2023,37.0,False,1
UTP-0234,5,3,2022,76.7,True,2
UTP-0234,6,4,2023,42.7,False,1
UTP-0234,7,2,2022,44.4,False,1
UTP-0234,8,3,2022,72.1,True,2
UTP-0234,9,1,2021,74.4,True,2
UTP-0234,10,1,2021,70.5,True,1
UTP-0234,11,2,2022,59.3,False,1
UTP-0234,12,3,2022,77.5,True,2
UTP-0234,13,2,2022,86.6,True,2
UTP-0234,14,1,2021,57.8,False,1
UTP-0234,15,8,2025,84.1,True,1
UTP-0234,45,2,2022,74.8,True,2
UTP-0234,46,3,2022,55.3,False,1
UTP-0234,47,5,2023,75.3,True,2
UTP-0234,48,5,2023,74.1,True,2
UTP-0234,49,7,2024,40.7,False,1
UTP-0227,1,1,2020,65.7,False,1
UTP-0227,2,2,2021,57.2,False,1
UTP-0227,3,3,2021,54.7,False,1
UTP-0227,4,4,2022,55.4,False,1
UTP-0227,5,3,2021,82.1,True,1
UTP-0227,6,4,2022,72.8,True,1
UTP-0227,7,2,2021,74.1,True,2
UTP-0227,8,3,2021,85.7,True,2
UTP-0227,9,1,2020,78.9,True,1
UTP-0227,10,1,2020,80.1,True,1
UTP-0227,11,2,2021,73.2,True,1
UTP-0227,12,3,2021,81.4,True,2
UTP-0227,13,2,2021,78.3,True,1
UTP-0227,14,1,2020,75.8,True,1
UTP-0227,15,8,2024,84.8,True,1
UTP-0227,31,2,2021,72.8,True,1
UTP-0227,32,3,2021,76.1,True,1
UTP-0227,33,4,2022,70.6,True,2
UTP-0227,34,5,2022,73.2,True,1
UTP-0227,35,5,2022,83.4,True,2
UTP-0227,36,7,2023,79.3,True,1
UTP-0227,37,10,2025,70.5,True,2
UTP-0197,1,1,2024,81.0,True,1
UTP-0197,2,2,2025,70.3,True,2
UTP-0197,7,2,2025,56.9,False,1
UTP-0197,9,1,2024,79.1,True,2
UTP-0197,10,1,2024,78.6,True,2
UTP-0197,11,2,2025,75.5,True,1
UTP-0197,13,2,2025,76.3,True,1
UTP-0197,14,1,2024,76.1,True,2
UTP-0110,1,1,2023,80.8,True,1
UTP-0110,2,2,2024,93.1,True,1
UTP-0110,3,3,2024,89.8,True,1
UTP-0110,4,4,2025,74.5,True,1
UTP-0110,5,3,2024,81.3,True,1
UTP-0110,6,4,2025,81.9,True,1
UTP-0110,7,2,2024,80.9,True,1
UTP-0110,8,3,2024,81.4,True,2
UTP-0110,9,1,2023,78.9,True,1
UTP-0110,10,1,2023,72.6,True,1
UTP-0110,11,2,2024,89.2,True,1
UTP-0110,12,3,2024,91.1,True,1
UTP-0110,13,2,2024,82.1,True,1
UTP-0110,14,1,2023,98.6,True,1
UTP-0110,51,2,2024,71.2,True,1
UTP-0110,52,4,2025,71.5,True,2
UTP-0110,53,5,2025,82.8,True,1
UTP-0006,1,1,2021,95.6,True,1
UTP-0006,2,2,2022,95.7,True,1
UTP-0006,3,3,2022,78.5,True,1
UTP-0006,4,4,2023,85.8,True,1
UTP-0006,5,3,2022,86.9,True,1
UTP-0006,6,4,2023,85.8,True,1
UTP-0006,7,2,2022,89.3,True,1
UTP-0006,8,3,2022,87.4,True,1
UTP-0006,9,1,2021,74.6,True,1
UTP-0006,10,1,2021,100.0,True,1
UTP-0006,11,2,2022,100.0,True,1
UTP-0006,12,3,2022,87.2,True,1
UTP-0006,13,2,2022,95.4,True,1
UTP-0006,14,1,2021,96.1,True,1
UTP-0006,38,2,2022,84.3,True,1
UTP-0006,39,3,2022,77.8,True,1
UTP-0006,40,4,2023,76.8,True,1
UTP-0006,41,5,2023,82.0,True,1
UTP-0006,42,6,2024,86.6,True,1
UTP-0006,43,7,2024,81.5,True,1
UTP-0176,1,1,2021,76.4,True,2
UTP-0176,2,2,2022,84.1,True,2
UTP-0176,3,3,2022,40.2,False,1
UTP-0176,4,4,2023,74.7,True,2
UTP-0176,5,3,2022,54.1,False,1
UTP-0176,6,4,2023,74.7,True,2
UTP-0176,7,2,2022,54.0,False,1
UTP-0176,8,3,2022,52.6,False,1
UTP-0176,9,1,2021,77.3,True,1
UTP-0176,10,1,2021,77.0,True,2
UTP-0176,11,2,2022,75.8,True,1
UTP-0176,12,3,2022,72.6,True,1
UTP-0176,13,2,2022,76.8,True,1
UTP-0176,14,1,2021,73.6,True,1
UTP-0176,15,8,2025,78.3,True,2
UTP-0176,38,2,2022,71.0,True,1
UTP-0176,39,3,2022,59.0,False,1
UTP-0176,40,4,2023,50.5,False,1
UTP-0176,41,5,2023,59.6,False,1
UTP-0176,42,6,2024,85.0,True,2
UTP-0176,43,7,2024,74.9,True,2
UTP-0238,1,1,2024,79.3,True,2
